,ExpectedReturn
HLT,0.24194400862251833
SJM,-0.041717845963309984
USB,0.029746391903293437
WDC,0.1844693558683205
LKQ,-0.00660564475362921
WMB,0.3070376901817639
HSIC,0.007297714022663637
NCLH,0.2656291975069851
RL,0.354206014812408
PKG,0.18215409442128466
MDT,-0.0017609367681955454
PSA,0.033190864568264214
GE,0.4788882397608871
TPL,0.5998058273025056
ELV,0.001478653060145689
COST,0.2940373060859257
BXP,-0.0653987816494213
GIS,0.002814147362855046
TSCO,0.21360269844419585
BMY,-0.002573612073087414
HPE,0.1752313614916148
MAR,0.21854888186094812
PPL,0.1374372611481155
HII,0.04839455935087363
CF,0.1325896670667501
IPG,-0.016730635786455315
DD,0.07718501300197525
PCAR,0.2564741605356514
WBD,-0.17426077277779378
DFS,0.26434485820079157
EQR,0.007706723708841938
COR,0.21694663818734058
AMGN,0.15308504756279764
JBHT,0.015923497980485
DAL,0.22147873183581138
GM,0.08320176548413526
INTU,0.1322257189180508
HSY,-0.02284246536121264
MMC,0.17547026706739846
EQIX,0.16788653519888364
HOLX,-0.0069289318149993884
VICI,0.11322899317564702
MLM,0.14913496014961006
PG,0.05893802705024273
LHX,0.011225655389096723
LW,0.034878408318488735
WFC,0.19739319235825206
TJX,0.25569649523185606
JNPR,0.08116250921317224
HRL,-0.11408563870018039
DVA,0.1776216707227314
MAS,0.1686849261116385
TROW,0.0027158677539482205
SWKS,-0.12932303450951452
NVR,0.17420062534074035
KEY,0.030336958083671137
TAP,0.1340579918811168
WELL,0.25545390280321434
AAPL,0.17599624498309244
HES,0.22625881590710856
CHTR,-0.09438628717095998
ABBV,0.16552557676525073
TDG,0.3231832611736935
ACGL,0.26429948304338896
MU,0.16252178778144025
UDR,-0.014330218438496562
PGR,0.356684850949172
AMP,0.26016211265244704
PFG,0.1343977764619678
UHS,0.16104459344420546
DOW,-0.0639122056874353
ALL,0.20423154600592255
EMN,0.017862147630390377
TSLA,0.27646172914809325
NDAQ,0.17096892103802563
CAH,0.3380988618555862
KIM,0.049187111805222686
TER,0.09705140287792162
PEG,0.1523714611918554
REGN,0.08017601988491678
FI,0.33937426066632614
AEE,0.09988509451633915
HAS,-0.050396068037687355
TRV,0.16310266727911854
CAT,0.2689276832313346
SNA,0.21852417171450142
BDX,-0.004473005932956808
GOOGL,0.17372831948148915
COO,-0.005956807156859494
CPAY,0.19896608876466942
APH,0.2550107589156462
RVTY,-0.08676067732661191
MCHP,0.054093760612389775
WBA,-0.3218990534786565
CEG,0.7927907252805946
HIG,0.20614889040349063
NOC,0.08075547018868533
TTWO,0.1558066656994904
WAB,0.2780755724565761
ZBRA,0.002113533332997907
COF,0.18803457408536747
CMI,0.2555111417840964
UBER,0.40843447376692976
DUK,0.09767684877674239
ETR,0.2594578277653644
AXON,0.6204167053897396
CTVA,0.1264888022394066
HST,0.06278083523473771
WY,-0.025989261532324767
GPC,0.060124829676335124
CDW,0.08010619114866772
DRI,0.17680388461483842
ETN,0.29923956905840965
NWS,0.2055800578114085
PTC,0.1946262268863278
MDLZ,0.01889613905307712
DXCM,0.1040412242423948
FICO,0.4954922910902061
IEX,0.05646885904809085
POOL,-0.0042612537956219386
AVY,0.05638012522110862
CME,0.08399680128056378
C,0.1732723964210851
PM,0.18399219909724981
PODD,0.1553624700766338
CFG,0.07244095355573661
MCD,0.0983040979790813
BIIB,-0.0883985996708955
LUV,-0.060086984155315444
REG,0.10206564464306356
KDP,-0.011557589831601755
DAY,0.09375099741070152
KLAC,0.35784628362661786
ORLY,0.2571506723475655
GNRC,-0.07903842462628803
RSG,0.2551541910728351
AES,-0.13404738769963892
CRL,-0.11186885183450676
ES,-0.023564398120272632
FFIV,0.19314907102937198
AIZ,0.1166980730341288
KHC,-0.035643623180365513
NUE,0.13916702188508975
AIG,0.12565372601141256
APD,0.15889702486328167
TEL,0.08197435321993854
SPGI,0.15499299039267533
AMCR,0.026148981333561767
CVS,-0.06047013173346386
CLX,0.06908879640557597
J,0.1273168546514351
MS,0.20754293661735623
MTD,0.02308467873651586
ATO,0.1554042093667127
NRG,0.46448037577144663
LOW,0.10139035221415053
ANET,0.5166267233424053
STLD,0.3481527639299927
IT,0.24109501392227825
INCY,0.04722067681693175
FTV,0.12279531339180008
STT,0.10939483428984144
SPG,0.19301606444784378
LNT,0.08453984450932711
DLR,0.16042705519183215
AJG,0.2869579493251014
BAX,-0.2672892081636654
FE,0.05948426182644354
F,-0.05278471853102246
OTIS,0.12327620737912408
TRGP,0.4885488878568996
CAG,-0.06249398109771919
PLTR,1.0337465959701508
HPQ,0.08482278749867636
IDXX,0.03128901470999185
HUM,-0.09187594620600774
EPAM,0.022563219865720824
ED,0.08934203587142336
DVN,0.022180438106118448
CRWD,0.46940668945731445
BSX,0.32510407588655876
TMO,0.03574593587288955
NTRS,0.0680821738404865
CSGP,0.13472248189260239
NFLX,0.4547150913073417
PARA,-0.12400225817657418
EA,0.04083476063332542
CTRA,0.19442034560599142
DOV,0.12991761080809452
SBAC,-0.06205426882730953
ALGN,-0.1688104731790506
RF,0.10459812714927404
O,0.014458916765974971
RTX,0.14929600252645303
TFX,-0.15169202447717073
CB,0.12740719476160578
MSCI,0.09519370851387421
AWK,-0.0009792039597099826
NSC,0.04515348401969783
MKTX,-0.14760104271958485
CCL,0.23255781999927075
PH,0.3447461348420624
EBAY,0.14489052017910237
EXR,0.023172824949371684
VTRS,0.004367595876284915
CNP,0.12273828776651752
CPRT,0.26021777280691155
KMX,0.04377490186419354
BALL,-0.13577227161396113
FITB,0.0686623656443383
EFX,0.10424081945923037
FCX,0.07028530694575826
EMR,0.15231695596594771
NTAP,0.19550273282285022
EG,0.09289307701717699
PNC,0.06597184308041051
XOM,0.194103333868914
LRCX,0.30059578056118597
MA,0.176588440407435
AON,0.14112064695030785
CSCO,0.10560087508962582
WTW,0.16521123434946985
ADP,0.19476777498627337
STX,0.08999544670610642
ESS,0.03969187668558052
KO,0.08282157265048275
MPC,0.3182499032835453
TXN,0.12332081130174519
NEE,0.04291600454964342
DG,-0.21895812532371572
DHI,0.22492469801227544
PCG,0.14642708768713453
GDDY,0.3091827520942969
FSLR,0.43819951029513665
VTR,0.15184749474159925
IRM,0.3442833945130834
CI,0.1432366835434033
JPM,0.26246154951615264
ON,0.11281749278421628
